,0
Marital Status,0.0008571803479973757
Application mode,0.018262197045182556
Application order,0.001479599711613205
Course,0.08717172381594929
Daytime/evening attendance,0.0008283864202891012
Previous qualification,0.008219306541899644
Previous qualification (grade),0.1120607550609301
Mother's qualification,0.019378515540803956
Father's qualification,0.020640296878803692
Mother's occupation,0.012003855675785458
Father's occupation,0.011997061976944511
Admission grade,0.1108417017533331
Displaced,0.0007393256533320734
Educational special needs,0.00012716457670757005
Debtor,0.00033593040424206925
Tuition fees up to date,0.0007785194363158062
Scholarship holder,0.0004084354628117436
Age at enrollment,0.018225177886993127
International,0.00021387612939202538
Curricular units 1st sem (credited),0.0037155039005036463
Curricular units 1st sem (enrolled),0.005551866436320774
Curricular units 1st sem (evaluations),0.006493613345943901
Curricular units 1st sem (approved),0.005027869755158299
Curricular units 1st sem (grade),0.005098968965151474
Curricular units 1st sem (without evaluations),7.277184050010991e-05
Curricular units 2nd sem (credited),0.003045312926721305
Curricular units 2nd sem (enrolled),0.005018278653555813
Curricular units 2nd sem (evaluations),0.006430946702988302
Curricular units 2nd sem (approved),0.0042194418385791506
Curricular units 2nd sem (grade),0.005048809808496536
Curricular units 2nd sem (without evaluations),0.00031659126958507433
Unemployment rate,0.009685102358286358
Inflation rate,0.0014704586808739328
GDP,0.0019690099215527355
